"days","degdays","subj","taxa","type","counts","fracBySubjDay"
0,0,"A3","Clostridiaceae","bac",8276,0.120117853669865
0,0,"A3","Coleoptera","euk",3,0.000159261028826246
0,0,"A3","Collembola","euk",0,0
0,0,"A3","Comamonadaceae","bac",499,0.00724248537714626
0,0,"A3","Corynebacteriaceae","bac",4322,0.0627295026052628
0,0,"A3","Debaryomycetaceae","euk",527,0.0279768540638106
0,0,"A3","Dermabacteraceae","bac",2597,0.0376928547584145
0,0,"A3","Didymellaceae","euk",1,5.30870096087487e-05
0,0,"A3","Dietziaceae","bac",1454,0.0211033541851115
0,0,"A3","Dipodascaceae","euk",19,0.00100865318256623
0,0,"A3","Diptera","euk",1023,0.05430801082975
0,0,"A3","Eimeriorina","euk",54,0.00286669851887243
0,0,"A3","Enterobacteriaceae","bac",273,0.00396232165924034
0,0,"A3","Enterococcaceae","bac",1653,0.023991639936719
0,0,"A3","Eustigmatales","euk",0,0
0,0,"A3","Fabales","euk",35,0.00185804533630621
0,0,"A3","Flavobacteriaceae","bac",747,0.0108419570675917
0,0,"A3","Haptoria","euk",1077,0.0571747093486224
0,0,"A3","Herpotrichiellaceae","euk",2,0.000106174019217497
0,0,"A3","Hypotrichia","euk",30,0.00159261028826246
0,0,"A3","Intrasporangiaceae","bac",1155,0.0167636685583245
0,0,"A3","Lachnospiraceae","bac",1220,0.0177070784771912
0,0,"A3","Lactobacillaceae","bac",2274,0.0330048331615843
0,0,"A3","Lichtheimiaceae","euk",181,0.00960874873918352
0,0,"A3","Malasseziaceae","euk",45,0.00238891543239369
0,0,"A3","Microbacteriaceae","bac",503,0.00730054137215344
0,0,"A3","Micrococcaceae","bac",1158,0.0168072105545799
0,0,"A3","Moraxellaceae","bac",3970,0.0576205750446305
0,0,"A3","Mucoraceae","euk",416,0.0220841959972395
0,0,"A3","Oligohymenophorea","euk",98,0.00520252694165738
0,0,"A3","Opiliones","euk",0,0
0,0,"A3","Oxalobacteraceae","bac",56,0.000812783930100582
0,0,"A3","Paraprevotellaceae","bac",1120,0.0162556786020116
0,0,"A3","Peptostreptococcaceae","bac",575,0.00834554928228276
0,0,"A3","Peronosporomycetes","euk",0,0
0,0,"A3","Phaeosphaeriaceae","euk",1,5.30870096087487e-05
0,0,"A3","Phaffomycetaceae","euk",158,0.0083877475181823
0,0,"A3","Pichiaceae","euk",577,0.030631204544248
0,0,"A3","Planococcaceae","bac",2428,0.0352399889693609
0,0,"A3","Poales","euk",256,0.0135902744598397
0,0,"A3","Porphyromonadaceae","bac",247,0.00358495769169364
0,0,"A3","Prevotellaceae","bac",1108,0.0160815106169901
0,0,"A3","Pseudomonadaceae","bac",227,0.00329467771665772
0,0,"A3","Ranunculales","euk",0,0
0,0,"A3","Rare","bac",4679,0.067911000159654
0,0,"A3","Rare","euk",608,0.0322769018421193
0,0,"A3","Rhabditida","euk",2336,0.124011254446037
0,0,"A3","Rhynchogastremataceae","euk",0,0
0,0,"A3","Rikenellaceae","bac",0,0
0,0,"A3","Ruminococcaceae","bac",1943,0.0282006995747398
0,0,"A3","Saccharomycetaceae","euk",75,0.00398152572065616
0,0,"A3","Saccharomycodaceae","euk",0,0
0,0,"A3","Sphaeropleales","euk",0,0
0,0,"A3","Sphingobacteriaceae","bac",513,0.0074456813596714
0,0,"A3","Sporidiobolaceae","euk",93,0.00493709189361363
0,0,"A3","Staphylococcaceae","bac",3045,0.0441951261992191
0,0,"A3","Streptococcaceae","bac",1280,0.018577918402299
0,0,"A3","Streptomycetaceae","bac",145,0.00210452981901044
0,0,"A3","Taphrinaceae","euk",0,0
0,0,"A3","Tissierellaceae","bac",5957,0.0864598905644494
0,0,"A3","Trichosporonaceae","euk",2563,0.136062005627223
0,0,"A3","Trichostomatia","euk",7136,0.378828900568031
0,0,"A3","Turicibacteraceae","bac",947,0.0137447568179509
0,0,"A3","Ustilaginaceae","euk",0,0
0,0,"A3","Veillonellaceae","bac",1011,0.0146736527380659
0,0,"A3","Weeksellaceae","bac",1629,0.0236433039666759
0,0,"A3","Xanthomonadaceae","bac",667,0.009680837167448
0,0,"A4","Acari","euk",1,4.34480361487661e-05
0,0,"A4","Aerococcaceae","bac",1865,0.0464311499489631
0,0,"A4","Ascaridida","euk",561,0.0243743482794578
0,0,"A4","Aspergillaceae","euk",1027,0.0446211331247828
0,0,"A4","Bacillaceae","bac",615,0.0153110762566286
0,0,"A4","Bifidobacteriaceae","bac",419,0.0104314487016705
0,0,"A4","Brevibacteriaceae","bac",2467,0.0614185774391914
0,0,"A4","Carnobacteriaceae","bac",807,0.0200911195757712
0,0,"A4","Caulobacteraceae","bac",124,0.00308711131027958
0,0,"A4","Christensenellaceae","bac",172,0.00428212214006523
0,0,"A4","Chromulinales","euk",8,0.000347584289190129
0,0,"A4","Cladosporiaceae","euk",198,0.00860271115745568
0,0,"A4","Clostridiaceae","bac",4450,0.110787462344711
0,0,"A4","Coleoptera","euk",2,8.68960722975322e-05
0,0,"A4","Collembola","euk",0,0
0,0,"A4","Comamonadaceae","bac",487,0.0121243807105335
0,0,"A4","Corynebacteriaceae","bac",2913,0.0725222197326163
0,0,"A4","Debaryomycetaceae","euk",689,0.0299356969064998
0,0,"A4","Dermabacteraceae","bac",1946,0.0484477307242264
0,0,"A4","Didymellaceae","euk",1,4.34480361487661e-05
0,0,"A4","Dietziaceae","bac",751,0.0186969402743546
0,0,"A4","Dipodascaceae","euk",10,0.000434480361487661
0,0,"A4","Diptera","euk",1389,0.0603493222106361
0,0,"A4","Eimeriorina","euk",24,0.00104275286757039
0,0,"A4","Enterobacteriaceae","bac",207,0.00515348420345059
0,0,"A4","Enterococcaceae","bac",771,0.0191948614534319
0,0,"A4","Eustigmatales","euk",0,0
0,0,"A4","Fabales","euk",12,0.000521376433785193
0,0,"A4","Flavobacteriaceae","bac",980,0.0243981377747902
0,0,"A4","Haptoria","euk",8,0.000347584289190129
0,0,"A4","Herpotrichiellaceae","euk",5,0.00021724018074383
0,0,"A4","Hypotrichia","euk",12,0.000521376433785193
0,0,"A4","Intrasporangiaceae","bac",706,0.0175766176214305
0,0,"A4","Lachnospiraceae","bac",548,0.0136430403067194
0,0,"A4","Lactobacillaceae","bac",967,0.02407448900839
0,0,"A4","Lichtheimiaceae","euk",295,0.012817170663886
0,0,"A4","Malasseziaceae","euk",10,0.000434480361487661
0,0,"A4","Microbacteriaceae","bac",227,0.00565140538252795
0,0,"A4","Micrococcaceae","bac",265,0.00659745562277491
0,0,"A4","Moraxellaceae","bac",2575,0.0641073518062091
0,0,"A4","Mucoraceae","euk",1162,0.0504866180048662
0,0,"A4","Oligohymenophorea","euk",57,0.00247653806047967
0,0,"A4","Opiliones","euk",0,0
0,0,"A4","Oxalobacteraceae","bac",35,0.000871362063385366
0,0,"A4","Paraprevotellaceae","bac",355,0.008838100928623
0,0,"A4","Peptostreptococcaceae","bac",210,0.0052281723803122
0,0,"A4","Peronosporomycetes","euk",0,0
0,0,"A4","Phaeosphaeriaceae","euk",4,0.000173792144595064
0,0,"A4","Phaffomycetaceae","euk",287,0.0124695863746959
0,0,"A4","Pichiaceae","euk",1113,0.0483576642335766
0,0,"A4","Planococcaceae","bac",1416,0.0352528194786765
0,0,"A4","Poales","euk",627,0.0272419186652763
0,0,"A4","Porphyromonadaceae","bac",505,0.0125725097717031
0,0,"A4","Prevotellaceae","bac",612,0.015236388079767
0,0,"A4","Pseudomonadaceae","bac",240,0.00597505414892822
0,0,"A4","Ranunculales","euk",0,0
0,0,"A4","Rare","bac",2956,0.0735927502676326
0,0,"A4","Rare","euk",934,0.0405804657629476
0,0,"A4","Rhabditida","euk",8707,0.378302050747306
0,0,"A4","Rhynchogastremataceae","euk",0,0
0,0,"A4","Rikenellaceae","bac",2,4.97921179077352e-05
0,0,"A4","Ruminococcaceae","bac",569,0.0141658575447507
0,0,"A4","Saccharomycetaceae","euk",116,0.00503997219325686
0,0,"A4","Saccharomycodaceae","euk",0,0
0,0,"A4","Sphaeropleales","euk",0,0
0,0,"A4","Sphingobacteriaceae","bac",762,0.0189707969228471
0,0,"A4","Sporidiobolaceae","euk",186,0.00808133472367049
0,0,"A4","Staphylococcaceae","bac",2544,0.0633355739786392
0,0,"A4","Streptococcaceae","bac",636,0.0158338934946598
0,0,"A4","Streptomycetaceae","bac",5,0.000124480294769338
0,0,"A4","Taphrinaceae","euk",0,0
0,0,"A4","Tissierellaceae","bac",2662,0.0662733089351956
0,0,"A4","Trichosporonaceae","euk",4612,0.200382342718109
0,0,"A4","Trichostomatia","euk",959,0.0416666666666667
0,0,"A4","Turicibacteraceae","bac",281,0.0069957925660368
0,0,"A4","Ustilaginaceae","euk",0,0
0,0,"A4","Veillonellaceae","bac",321,0.0079916349241915
0,0,"A4","Weeksellaceae","bac",1124,0.0279831702641472
0,0,"A4","Xanthomonadaceae","bac",670,0.0166803594990913
0,0,"A5","Acari","euk",0,0
0,0,"A5","Aerococcaceae","bac",3468,0.059932601745442
0,0,"A5","Ascaridida","euk",1,0.000291800408520572
0,0,"A5","Aspergillaceae","euk",24,0.00700320980449373
0,0,"A5","Bacillaceae","bac",665,0.0114922664823296
0,0,"A5","Bifidobacteriaceae","bac",349,0.00603127970275642
0,0,"A5","Brevibacteriaceae","bac",3029,0.0523459777067312
0,0,"A5","Carnobacteriaceae","bac",1296,0.022396958437743
0,0,"A5","Caulobacteraceae","bac",157,0.00271321178605375
0,0,"A5","Christensenellaceae","bac",465,0.00803594573576428
0,0,"A5","Chromulinales","euk",4,0.00116720163408229
0,0,"A5","Cladosporiaceae","euk",3,0.000875401225561716
0,0,"A5","Clostridiaceae","bac",4700,0.0812235375442841
0,0,"A5","Coleoptera","euk",0,0
0,0,"A5","Collembola","euk",0,0
0,0,"A5","Comamonadaceae","bac",602,0.0104035254471615
0,0,"A5","Corynebacteriaceae","bac",3131,0.0541087012874795
0,0,"A5","Debaryomycetaceae","euk",221,0.0644878902830464
0,0,"A5","Dermabacteraceae","bac",2841,0.0490970362049598
0,0,"A5","Didymellaceae","euk",0,0
0,0,"A5","Dietziaceae","bac",982,0.0169705348656355
