"days","degdays","subj","taxa","counts","fracBySubjDay","type"
1,27,"A5","Bacillariophytina",1,8.43525938422607e-05,"euk"
1,27,"A5","Capnodiales",133,0.0112188949810207,"euk"
1,27,"A5","Chaetothyriales",4,0.000337410375369043,"euk"
1,27,"A5","Chlamydomonadales",12,0.00101223112610713,"euk"
1,27,"A5","Chromulinales",11,0.000927878532264867,"euk"
1,27,"A5","Coccidia",29,0.00244622522142556,"euk"
1,27,"A5","Coleoptera",4,0.000337410375369043,"euk"
1,27,"A5","Collembola",0,0,"euk"
1,27,"A5","Conthreep",277,0.0233656684943062,"euk"
1,27,"A5","Cryomonadida",22,0.00185575706452973,"euk"
1,27,"A5","Diptera",699,0.0589624630957402,"euk"
1,27,"A5","Eurotiales",863,0.0727962884858709,"euk"
1,27,"A5","Eustigmatales",0,0,"euk"
1,27,"A5","Fabales",4,0.000337410375369043,"euk"
1,27,"A5","Filobasidiales",478,0.0403205398566006,"euk"
1,27,"A5","Gregarinasina",0,0,"euk"
1,27,"A5","Liliopsida",218,0.0183888654576128,"euk"
1,27,"A5","Litostomatea",1884,0.158920286798819,"euk"
1,27,"A5","Malasseziales",4,0.000337410375369043,"euk"
1,27,"A5","Metakinetoplastina",7,0.000590468156895825,"euk"
1,27,"A5","Mucorales",408,0.0344158582876423,"euk"
1,27,"A5","Opiliones",0,0,"euk"
1,27,"A5","Peronosporomycetes",3,0.000253057781526782,"euk"
1,27,"A5","Pleosporales",367,0.0309574019401097,"euk"
1,27,"A5","Polyporales",111,0.00936313791649093,"euk"
1,27,"A5","Ranunculales",0,0,"euk"
1,27,"A5","Rare",225,0.0189793336145086,"euk"
1,27,"A5","Rhabditida",2660,0.224377899620413,"euk"
1,27,"A5","Saccharomycetales",1530,0.129059468578659,"euk"
1,27,"A5","Sapindales",0,0,"euk"
1,27,"A5","Schizosaccharomycetales",0,0,"euk"
1,27,"A5","Spirotrichea",4,0.000337410375369043,"euk"
1,27,"A5","Sporidiobolales",79,0.00666385491353859,"euk"
1,27,"A5","Taphrinales",4,0.000337410375369043,"euk"
1,27,"A5","Tremellales",32,0.00269928300295234,"euk"
1,27,"A5","Trichosporonales",1735,0.146351750316322,"euk"
1,27,"A5","Ustilaginales",4,0.000337410375369043,"euk"
1,27,"A6","Acari",273,0.0143578415904071,"euk"
1,27,"A6","Agaricales",15,0.000788892395077311,"euk"
1,27,"A6","Ascaridida",8,0.000420742610707899,"euk"
1,27,"A6","Asterales",0,0,"euk"
1,27,"A6","Bacillariophytina",0,0,"euk"
1,27,"A6","Capnodiales",441,0.023193436415273,"euk"
1,27,"A6","Chaetothyriales",1,5.25928263384874e-05,"euk"
1,27,"A6","Chlamydomonadales",0,0,"euk"
1,27,"A6","Chromulinales",0,0,"euk"
1,27,"A6","Coccidia",11,0.000578521089723362,"euk"
1,27,"A6","Coleoptera",5,0.000262964131692437,"euk"
1,27,"A6","Collembola",0,0,"euk"
1,27,"A6","Conthreep",16,0.000841485221415799,"euk"
1,27,"A6","Cryomonadida",11,0.000578521089723362,"euk"
1,27,"A6","Diptera",15780,0.829914799621332,"euk"
1,27,"A6","Eurotiales",239,0.0125696854948985,"euk"
1,27,"A6","Eustigmatales",0,0,"euk"
1,27,"A6","Fabales",2,0.000105185652676975,"euk"
1,27,"A6","Filobasidiales",161,0.00846744504049648,"euk"
1,27,"A6","Gregarinasina",0,0,"euk"
1,27,"A6","Liliopsida",131,0.00688966025034185,"euk"
1,27,"A6","Litostomatea",148,0.00778373829809614,"euk"
1,27,"A6","Malasseziales",4,0.00021037130535395,"euk"
1,27,"A6","Metakinetoplastina",2,0.000105185652676975,"euk"
1,27,"A6","Mucorales",142,0.00746818134006522,"euk"
