"days","degdays","subj","taxa","type","counts","fracBySubjDay"
0,0,"A6","Pseudomonadales","bac",5009,0.0859309327340413
0,0,"A6","Ranunculales","euk",0,0
0,0,"A6","Rare","bac",1377,0.0236228577310391
0,0,"A6","Rare","euk",47,0.010643115942029
0,0,"A6","Rhabditida","euk",2495,0.564990942028985
0,0,"A6","Rhizobiales","bac",581,0.00996723336364104
0,0,"A6","Saccharomycetales","euk",1085,0.245697463768116
0,0,"A6","Sphingobacteriales","bac",786,0.0134840712974559
0,0,"A6","Spirotrichea","euk",7,0.00158514492753623
0,0,"A6","Sporidiobolales","euk",2,0.000452898550724638
0,0,"A6","Taphrinales","euk",0,0
0,0,"A6","Tremellales","euk",0,0
0,0,"A6","Trichosporonales","euk",89,0.0201539855072464
0,0,"A6","Turicibacterales","bac",437,0.00749686915647356
0,0,"A6","Ustilaginales","euk",0,0
0,0,"A6","Xanthomonadales","bac",946,0.0162289204165309
1,27,"A1","Acari","euk",3,0.000226090888537192
1,27,"A1","Actinomycetales","bac",14886,0.338787864994652
1,27,"A1","Ascaridida","euk",25,0.00188409073780993
1,27,"A1","Bacillales","bac",3196,0.0727372038507931
1,27,"A1","Bacteroidales","bac",1745,0.0397141491613373
1,27,"A1","Burkholderiales","bac",222,0.00505245909101254
1,27,"A1","Capnodiales","euk",67,0.00504936317733062
1,27,"A1","Caulobacterales","bac",46,0.00104690593777737
1,27,"A1","Chromulinales","euk",0,0
1,27,"A1","Clostridiales","bac",14266,0.324677393659391
1,27,"A1","Coccidia","euk",10,0.000753636295123973
1,27,"A1","Coleoptera","euk",1,7.53636295123973e-05
1,27,"A1","Collembola","euk",0,0
1,27,"A1","Conthreep","euk",180,0.0135654533122315
1,27,"A1","Diptera","euk",290,0.0218554525585952
1,27,"A1","Enterobacteriales","bac",90,0.00204829422608616
1,27,"A1","Eurotiales","euk",1453,0.109503353681513
1,27,"A1","Eustigmatales","euk",0,0
1,27,"A1","Fabales","euk",8,0.000602909036099179
1,27,"A1","Filobasidiales","euk",330,0.0248699977390911
1,27,"A1","Flavobacteriales","bac",857,0.0195043127972871
1,27,"A1","JG30_KF_CM45","bac",622,0.0141559889847288
1,27,"A1","Lactobacillales","bac",4341,0.098796058171556
1,27,"A1","Liliopsida","euk",175,0.0131886351646695
1,27,"A1","Litostomatea","euk",2656,0.200165799984927
1,27,"A1","Malasseziales","euk",49,0.00369281784610747
1,27,"A1","Metakinetoplastina","euk",0,0
1,27,"A1","Mucorales","euk",855,0.0644359032330997
1,27,"A1","Peronosporomycetes","euk",0,0
1,27,"A1","Pleosporales","euk",192,0.0144698168663803
1,27,"A1","Pseudomonadales","bac",972,0.0221215776417306
1,27,"A1","Ranunculales","euk",0,0
1,27,"A1","Rare","bac",1347,0.0306561369170896
1,27,"A1","Rare","euk",422,0.0318034516542317
1,27,"A1","Rhabditida","euk",2417,0.182153892531464
1,27,"A1","Rhizobiales","bac",320,0.00728282391497303
1,27,"A1","Saccharomycetales","euk",2364,0.178159620167307
1,27,"A1","Sphingobacteriales","bac",126,0.00286761191652063
1,27,"A1","Spirotrichea","euk",0,0
1,27,"A1","Sporidiobolales","euk",70,0.00527545406586781
1,27,"A1","Taphrinales","euk",18,0.00135654533122315
1,27,"A1","Tremellales","euk",46,0.00346672695757028
1,27,"A1","Trichosporonales","euk",1638,0.123445625141307
1,27,"A1","Turicibacterales","bac",676,0.0153849655203805
1,27,"A1","Ustilaginales","euk",0,0
1,27,"A1","Xanthomonadales","bac",227,0.00516625321468399
1,27,"A2","Acari","euk",0,0
1,27,"A2","Actinomycetales","bac",18070,0.407854643945379
1,27,"A2","Ascaridida","euk",7,0.000485470559678202
1,27,"A2","Bacillales","bac",6897,0.155670917503668
1,27,"A2","Bacteroidales","bac",762,0.017198961742467
1,27,"A2","Burkholderiales","bac",277,0.00625211601399391
1,27,"A2","Capnodiales","euk",64,0.00443858797420071
1,27,"A2","Caulobacterales","bac",55,0.00124139487642478
1,27,"A2","Chromulinales","euk",3,0.000208058811290658
1,27,"A2","Clostridiales","bac",7934,0.179076853628259
1,27,"A2","Coccidia","euk",9,0.000624176433871975
1,27,"A2","Coleoptera","euk",2,0.000138705874193772
1,27,"A2","Collembola","euk",0,0
1,27,"A2","Conthreep","euk",104,0.00721270545807615
1,27,"A2","Diptera","euk",1763,0.12226922810181
1,27,"A2","Enterobacteriales","bac",79,0.00178309445886469
1,27,"A2","Eurotiales","euk",575,0.0398779388307095
1,27,"A2","Eustigmatales","euk",0,0
1,27,"A2","Fabales","euk",1,6.9352937096886e-05
1,27,"A2","Filobasidiales","euk",405,0.0280879395242389
1,27,"A2","Flavobacteriales","bac",1177,0.0265658503554904
1,27,"A2","JG30_KF_CM45","bac",667,0.0150547342286424
1,27,"A2","Lactobacillales","bac",3932,0.0887484482564045
1,27,"A2","Liliopsida","euk",110,0.00762882308065747
1,27,"A2","Litostomatea","euk",906,0.0628337610097788
1,27,"A2","Malasseziales","euk",6,0.000416117622581316
1,27,"A2","Metakinetoplastina","euk",16,0.00110964699355018
1,27,"A2","Mucorales","euk",473,0.0328039392468271
1,27,"A2","Peronosporomycetes","euk",5,0.00034676468548443
1,27,"A2","Pleosporales","euk",199,0.0138012344822803
1,27,"A2","Pseudomonadales","bac",2415,0.0545085204830155
1,27,"A2","Ranunculales","euk",0,0
1,27,"A2","Rare","bac",680,0.0153481548357973
1,27,"A2","Rare","euk",318,0.0220542339968097
1,27,"A2","Rhabditida","euk",5126,0.355503155558638
1,27,"A2","Rhizobiales","bac",277,0.00625211601399391
1,27,"A2","Saccharomycetales","euk",2451,0.169984048824468
1,27,"A2","Sphingobacteriales","bac",252,0.005687845615619
1,27,"A2","Spirotrichea","euk",9,0.000624176433871975
1,27,"A2","Sporidiobolales","euk",63,0.00436923503710382
1,27,"A2","Taphrinales","euk",1,6.9352937096886e-05
1,27,"A2","Tremellales","euk",38,0.00263541160968167
1,27,"A2","Trichosporonales","euk",1763,0.12226922810181
1,27,"A2","Turicibacterales","bac",495,0.011172553887823
1,27,"A2","Ustilaginales","euk",2,0.000138705874193772
1,27,"A2","Xanthomonadales","bac",336,0.00758379415415867
1,27,"A3","Acari","euk",2,0.000177935943060498
1,27,"A3","Actinomycetales","bac",5446,0.310207336523126
1,27,"A3","Ascaridida","euk",0,0
1,27,"A3","Bacillales","bac",1339,0.0762702210070631
1,27,"A3","Bacteroidales","bac",747,0.0425495557074504
1,27,"A3","Burkholderiales","bac",107,0.00609478241057188
1,27,"A3","Capnodiales","euk",94,0.00836298932384342
1,27,"A3","Caulobacterales","bac",14,0.000797448165869219
1,27,"A3","Chromulinales","euk",1,8.89679715302491e-05
1,27,"A3","Clostridiales","bac",5984,0.340852130325815
1,27,"A3","Coccidia","euk",68,0.00604982206405694
1,27,"A3","Coleoptera","euk",3,0.000266903914590747
1,27,"A3","Collembola","euk",0,0
1,27,"A3","Conthreep","euk",5,0.000444839857651246
1,27,"A3","Diptera","euk",670,0.0596085409252669
1,27,"A3","Enterobacteriales","bac",51,0.00290498974709501
1,27,"A3","Eurotiales","euk",1288,0.114590747330961
1,27,"A3","Eustigmatales","euk",0,0
1,27,"A3","Fabales","euk",107,0.00951957295373665
1,27,"A3","Filobasidiales","euk",388,0.0345195729537367
1,27,"A3","Flavobacteriales","bac",296,0.0168603326498063
1,27,"A3","JG30_KF_CM45","bac",191,0.0108794714057872
1,27,"A3","Lactobacillales","bac",1935,0.110218728639781
1,27,"A3","Liliopsida","euk",349,0.0310498220640569
1,27,"A3","Litostomatea","euk",2082,0.185231316725979
1,27,"A3","Malasseziales","euk",0,0
1,27,"A3","Metakinetoplastina","euk",0,0
1,27,"A3","Mucorales","euk",517,0.0459964412811388
1,27,"A3","Peronosporomycetes","euk",167,0.0148576512455516
1,27,"A3","Pleosporales","euk",539,0.0479537366548043
1,27,"A3","Pseudomonadales","bac",466,0.0265436318067897
1,27,"A3","Ranunculales","euk",0,0
1,27,"A3","Rare","bac",490,0.0279106858054226
1,27,"A3","Rare","euk",346,0.0307829181494662
1,27,"A3","Rhabditida","euk",1249,0.111120996441281
1,27,"A3","Rhizobiales","bac",106,0.00603782182729551
1,27,"A3","Saccharomycetales","euk",2027,0.180338078291815
1,27,"A3","Sphingobacteriales","bac",59,0.00336067441330599
1,27,"A3","Spirotrichea","euk",98,0.00871886120996441
1,27,"A3","Sporidiobolales","euk",51,0.0045373665480427
1,27,"A3","Taphrinales","euk",0,0
1,27,"A3","Tremellales","euk",66,0.00587188612099644
1,27,"A3","Trichosporonales","euk",1123,0.0999110320284698
1,27,"A3","Turicibacterales","bac",214,0.0121895648211438
1,27,"A3","Ustilaginales","euk",0,0
1,27,"A3","Xanthomonadales","bac",111,0.00632262474367738
1,27,"A4","Acari","euk",0,0
1,27,"A4","Actinomycetales","bac",18260,0.29467297109752
1,27,"A4","Ascaridida","euk",0,0
1,27,"A4","Bacillales","bac",6445,0.104006971452547
1,27,"A4","Bacteroidales","bac",312,0.0050349379508448
1,27,"A4","Burkholderiales","bac",260,0.004195781625704
1,27,"A4","Capnodiales","euk",62,0.021505376344086
1,27,"A4","Caulobacterales","bac",73,0.00117804637952459
1,27,"A4","Chromulinales","euk",0,0
1,27,"A4","Clostridiales","bac",12092,0.195136120838511
1,27,"A4","Coccidia","euk",0,0
1,27,"A4","Coleoptera","euk",6,0.00208116545265349
1,27,"A4","Collembola","euk",1,0.000346860908775581
1,27,"A4","Conthreep","euk",19,0.00659035726673604
1,27,"A4","Diptera","euk",4,0.00138744363510232
1,27,"A4","Enterobacteriales","bac",5369,0.0866428905707877
1,27,"A4","Eurotiales","euk",204,0.0707596253902185
1,27,"A4","Eustigmatales","euk",0,0
1,27,"A4","Fabales","euk",19,0.00659035726673604
1,27,"A4","Filobasidiales","euk",210,0.072840790842872
